horizon_s,variant,feature_set,model,folds,test_rows_total,accuracy_evaluable_folds,accuracy_mean,accuracy_sd,macro_f1_evaluable_folds,macro_f1_mean,macro_f1_sd,precision_evaluable_folds,precision_mean,precision_sd,recall_evaluable_folds,recall_mean,recall_sd,f1_positive_evaluable_folds,f1_positive_mean,f1_positive_sd,roc_auc_evaluable_folds,roc_auc_mean,roc_auc_sd,pr_auc_evaluable_folds,pr_auc_mean,pr_auc_sd,brier_evaluable_folds,brier_mean,brier_sd,positive_rate_evaluable_folds,positive_rate_mean,positive_rate_sd
10,all_sessions,euclidean_only,LogisticRegression,5,6151,5,0.946556111231482,0.05193380932301697,5,0.5710159219362325,0.12731873103443744,5,0.3804244981460171,0.46120912100832184,5,0.1988734326018809,0.270037447829846,5,0.1705573873449521,0.2614516144807934,3,0.951683494217717,0.035741629583766636,3,0.6354132075082317,0.23334866538558313,5,0.040061772436661994,0.04291057064516281,5,0.04670420096354096,0.05166353019288221
10,all_sessions,euclidean_only,RandomForest,5,6151,5,0.9377297611233875,0.058631425456610445,5,0.529669434704653,0.05698275096356511,5,0.182328190743338,0.3401866577457623,5,0.12800417972831765,0.2104941692319839,5,0.09256289236127022,0.12823912789880632,3,0.9498367288453848,0.030687849180885293,3,0.6339609775501233,0.11740808133266639,5,0.03988131520463519,0.04058928576287002,5,0.04670420096354096,0.05166353019288221
10,all_sessions,full_graph,ExtraTrees,5,6151,5,0.9416999070686124,0.05490245031483073,5,0.5473126082715322,0.08477320475333058,5,0.17824967824967825,0.3199123824733306,5,0.156478578892372,0.23150124736041697,5,0.12570323488045004,0.18077864516418862,3,0.9578554737979285,0.02577475677486925,3,0.650524445677255,0.12329776980230231,5,0.04184736981810826,0.045355362097142846,5,0.04670420096354096,0.05166353019288221
10,all_sessions,full_graph,HistGradientBoosting,5,6151,5,0.9588023054244978,0.04670083209150271,5,0.5843455250394797,0.12971727766609045,5,0.27954022988505745,0.41650008560696483,5,0.1546760710553814,0.21345695972987233,5,0.19045628700801115,0.26175431558541123,3,0.912103862655099,0.0821020935285455,3,0.6570971901696797,0.1817263114486534,5,0.03591111178570748,0.03823584293861148,5,0.04670420096354096,0.05166353019288221
10,all_sessions,full_graph,LogisticRegression,5,6151,5,0.9341307378923089,0.04153393116447918,5,0.578139658197069,0.09021725205602214,5,0.3161987785657998,0.3939009002221203,5,0.21252285788923722,0.23138458386161764,5,0.19146149949341437,0.19843628547815004,3,0.8921518183462847,0.06575070989206835,3,0.4776008482426655,0.2260702238321094,5,0.03876966824706301,0.03636525196937437,5,0.04670420096354096,0.05166353019288221
10,all_sessions,full_graph,RandomForest,5,6151,5,0.9468625620731868,0.05076668524138083,5,0.5551293751955344,0.09497681859839059,5,0.21195505617977525,0.3814755635756409,5,0.15386624869383492,0.22228044267138292,5,0.13845250173546217,0.19863611320191096,3,0.949690527730395,0.03571881357911459,3,0.6588385960729998,0.14223285420034587,5,0.03949622234084616,0.041760274678456694,5,0.04670420096354096,0.05166353019288221
10,all_sessions,full_graph_no_soc,ExtraTrees,5,6151,5,0.9398067080750021,0.054871272744002865,5,0.5461362956457128,0.08526507921099961,5,0.15994397759103643,0.2845902534016353,5,0.15472831765935213,0.22292108941881827,5,0.12437745199256658,0.18187543069974585,3,0.95830062954439,0.02490451819796417,3,0.6537178836194385,0.14308581009195462,5,0.040727873561202936,0.04531983288796966,5,0.04670420096354096,0.05166353019288221
10,all_sessions,full_graph_no_soc,HistGradientBoosting,5,6151,5,0.965460066291256,0.03713745215484111,5,0.6353139137123542,0.14226631839918974,5,0.4495385751199705,0.46593653684777037,5,0.23858411703239288,0.25137563207620683,5,0.28902947290939296,0.29638084837405887,3,0.9098979396962878,0.08192290556933385,3,0.6715479034348101,0.21880005802054678,5,0.035417082605985535,0.037301732585689334,5,0.04670420096354096,0.05166353019288221
10,all_sessions,full_graph_no_soc,LogisticRegression,5,6151,5,0.9295618221979198,0.03930296466152578,5,0.5988564929141285,0.11754770257692024,5,0.2843618302227574,0.34081303726463885,5,0.2544409613375131,0.23579597684811998,5,0.2355290500716724,0.24723612490874,3,0.9094030361851867,0.08053532668591956,3,0.5221881914132535,0.2295650078467414,5,0.038685107347864005,0.0308202805067594,5,0.04670420096354096,0.05166353019288221
10,all_sessions,full_graph_no_soc,RandomForest,5,6151,5,0.9512644759487848,0.04807417313919282,5,0.563161230502496,0.10249481134590277,5,0.22063674721902568,0.3729187405261925,5,0.1555903866248694,0.22357652079360366,5,0.15210627172041963,0.2121485279433198,3,0.9536004350978334,0.031472567575032466,3,0.6748331259986741,0.14498568982784307,5,0.0382784101320877,0.04176159062256179,5,0.04670420096354096,0.05166353019288221
