horizon_s,variant,feature_set,test_session,model,p50_ms_row,p95_ms_row,p99_ms_row
5,all_sessions,euclidean_only,S3_MEDIUM_SOC_WHOLETESTING,ExtraTrees,0.068328458,0.08155466659999995,0.093113956
5,all_sessions,euclidean_only,S3_MEDIUM_SOC_WHOLETESTING,RandomForest,0.067021083,0.0987809962,0.23554326436000017
5,all_sessions,euclidean_only,S3_MEDIUM_SOC_WHOLETESTING,HistGradientBoosting,0.011204709,0.016068475,0.01722747214
5,all_sessions,euclidean_only,S4_SAFETY_RICH_NAVEEN12,LogisticRegression,0.003216375,0.0035101040999999996,0.0037315585000000004
5,all_sessions,euclidean_only,S4_SAFETY_RICH_NAVEEN12,ExtraTrees,0.068577792,0.08195927009999995,0.09448197164000001
5,all_sessions,euclidean_only,S4_SAFETY_RICH_NAVEEN12,RandomForest,0.06695420899999999,0.077100459,0.08967927186000002
5,all_sessions,euclidean_only,S4_SAFETY_RICH_NAVEEN12,HistGradientBoosting,0.015447415999999999,0.04569690349999999,0.051876937420000005
5,all_sessions,euclidean_only,S5_REAL_TMS_JULY10,LogisticRegression,0.003356166,0.0037808163000000003,0.004515518140000002
5,all_sessions,euclidean_only,S5_REAL_TMS_JULY10,ExtraTrees,0.069076375,0.07698721979999999,0.07934698306
5,all_sessions,euclidean_only,S5_REAL_TMS_JULY10,RandomForest,0.067731333,0.07678545929999997,0.08602150508
5,all_sessions,euclidean_only,S5_REAL_TMS_JULY10,HistGradientBoosting,0.013246875,0.0155029913,0.01572768636
5,annotated_sessions,full_graph,S1_LOW_SOC_STRESS,LogisticRegression,0.003395376,0.0037989628,0.004033745
5,annotated_sessions,full_graph,S1_LOW_SOC_STRESS,ExtraTrees,0.071476916,0.09091541659999997,0.09952752278
5,annotated_sessions,full_graph,S1_LOW_SOC_STRESS,RandomForest,0.070463625,0.08036520059999999,0.09145140822
5,annotated_sessions,full_graph,S1_LOW_SOC_STRESS,HistGradientBoosting,0.016485542,0.026139449999999995,0.02705635536
5,annotated_sessions,full_graph,S2_HIGH_SOC_CONTROL,LogisticRegression,0.004677378552971576,0.005545068604651162,0.00710802612403101
5,annotated_sessions,full_graph,S2_HIGH_SOC_CONTROL,ExtraTrees,0.09386574031007752,0.2069432925064598,0.24374104798449614
5,annotated_sessions,full_graph,S2_HIGH_SOC_CONTROL,RandomForest,0.09396161757105943,0.10250725620155038,0.13199519369509047
5,annotated_sessions,full_graph,S2_HIGH_SOC_CONTROL,HistGradientBoosting,0.031646640826873386,0.0372398642118863,0.04073827354005169
5,annotated_sessions,full_graph,S4_SAFETY_RICH_NAVEEN12,LogisticRegression,0.003426376,0.0063119709,0.006374509
5,annotated_sessions,full_graph,S4_SAFETY_RICH_NAVEEN12,ExtraTrees,0.071472125,0.0765981753,0.08865234786000001
5,annotated_sessions,full_graph,S4_SAFETY_RICH_NAVEEN12,RandomForest,0.069276209,0.08760380869999994,0.09851595722
5,annotated_sessions,full_graph,S4_SAFETY_RICH_NAVEEN12,HistGradientBoosting,0.010726374,0.012562545099999997,0.013428225920000002
5,annotated_sessions,full_graph,S5_REAL_TMS_JULY10,LogisticRegression,0.003385458,0.0038486581999999997,0.00394244378
5,annotated_sessions,full_graph,S5_REAL_TMS_JULY10,ExtraTrees,0.072296166,0.08288499969999999,0.08917902964000002
5,annotated_sessions,full_graph,S5_REAL_TMS_JULY10,RandomForest,0.070661791,0.08486167009999994,0.09551445341999999
5,annotated_sessions,full_graph,S5_REAL_TMS_JULY10,HistGradientBoosting,0.0110315,0.013131312499999999,0.01376538928
5,recorded_route_only,full_graph,S2_HIGH_SOC_CONTROL,LogisticRegression,0.004330642118863049,0.004909147157622739,0.005609881602067184
5,recorded_route_only,full_graph,S2_HIGH_SOC_CONTROL,ExtraTrees,0.0934564496124031,0.12108519134366919,0.27786491002583996
5,recorded_route_only,full_graph,S2_HIGH_SOC_CONTROL,RandomForest,0.09440164728682171,0.10565149069767442,0.1130340092248062
5,recorded_route_only,full_graph,S2_HIGH_SOC_CONTROL,HistGradientBoosting,0.018865740310077518,0.021793173514211887,0.022411738087855296
5,recorded_route_only,full_graph,S5_REAL_TMS_JULY10,LogisticRegression,0.0031894589999999995,0.003488443,0.0035608915800000003
5,recorded_route_only,full_graph,S5_REAL_TMS_JULY10,ExtraTrees,0.076781459,0.11054988369999996,0.13630599936000004
5,recorded_route_only,full_graph,S5_REAL_TMS_JULY10,RandomForest,0.074973208,0.10937010759999996,0.13602543092000002
5,recorded_route_only,full_graph,S5_REAL_TMS_JULY10,HistGradientBoosting,0.010995832,0.012722984299999998,0.013114041860000002
10,all_sessions,full_graph,S1_LOW_SOC_STRESS,LogisticRegression,0.003002541,0.003383966299999999,0.0035667760000000002
10,all_sessions,full_graph,S1_LOW_SOC_STRESS,ExtraTrees,0.075569375,0.09819509129999998,0.10009120850000001
10,all_sessions,full_graph,S1_LOW_SOC_STRESS,RandomForest,0.07390075,0.0859738462,0.09801464114000001
10,all_sessions,full_graph,S1_LOW_SOC_STRESS,HistGradientBoosting,0.011210251000000001,0.013070537499999998,0.01390502072
10,all_sessions,full_graph,S2_HIGH_SOC_CONTROL,LogisticRegression,0.00625495564516129,0.008357601008064514,0.009784610161290324
10,all_sessions,full_graph,S2_HIGH_SOC_CONTROL,ExtraTrees,0.1523799576612903,0.1863945641129032,0.20804797653225807
10,all_sessions,full_graph,S2_HIGH_SOC_CONTROL,RandomForest,0.15404376411290321,0.18278777721774192,0.1921312593548387
10,all_sessions,full_graph,S2_HIGH_SOC_CONTROL,HistGradientBoosting,0.026699681451612903,0.03759512842741935,0.048803758790322595
10,all_sessions,full_graph,S3_MEDIUM_SOC_WHOLETESTING,LogisticRegression,0.003258834,0.0036474714999999995,0.00407320936
10,all_sessions,full_graph,S3_MEDIUM_SOC_WHOLETESTING,ExtraTrees,0.077654168,0.10059665839999998,0.1121057465
10,all_sessions,full_graph,S3_MEDIUM_SOC_WHOLETESTING,RandomForest,0.076189292,0.10069384539999998,0.10714400378
10,all_sessions,full_graph,S3_MEDIUM_SOC_WHOLETESTING,HistGradientBoosting,0.012169041999999998,0.022205621499999995,0.02963389150000001
10,all_sessions,full_graph,S4_SAFETY_RICH_NAVEEN12,LogisticRegression,0.003218334,0.0036862051999999993,0.0039082155
10,all_sessions,full_graph,S4_SAFETY_RICH_NAVEEN12,ExtraTrees,0.077006293,0.08857303779999995,0.10545905214000001
10,all_sessions,full_graph,S4_SAFETY_RICH_NAVEEN12,RandomForest,0.07486933300000001,0.0796105296,0.09715284122000002
10,all_sessions,full_graph,S4_SAFETY_RICH_NAVEEN12,HistGradientBoosting,0.011624583,0.016245108199999997,0.01808285414
10,all_sessions,full_graph,S5_REAL_TMS_JULY10,LogisticRegression,0.003300083,0.006948525299999995,0.008786315360000001
10,all_sessions,full_graph,S5_REAL_TMS_JULY10,ExtraTrees,0.076229875,0.09137681279999994,0.10103980428
10,all_sessions,full_graph,S5_REAL_TMS_JULY10,RandomForest,0.07746966599999999,0.09368950839999997,0.10292346936
10,all_sessions,full_graph,S5_REAL_TMS_JULY10,HistGradientBoosting,0.015226167,0.018756562199999993,0.020639579999999998
20,all_sessions,full_graph,S1_LOW_SOC_STRESS,LogisticRegression,0.003001958,0.0035382049,0.003562083
20,all_sessions,full_graph,S1_LOW_SOC_STRESS,ExtraTrees,0.079719917,0.09189139569999996,0.3073336537800002
20,all_sessions,full_graph,S1_LOW_SOC_STRESS,RandomForest,0.076249917,0.0792425997,0.09422336536000002
20,all_sessions,full_graph,S1_LOW_SOC_STRESS,HistGradientBoosting,0.010325500000000001,0.012820591000000001,0.012929791
20,all_sessions,full_graph,S2_HIGH_SOC_CONTROL,LogisticRegression,0.015788306451612902,0.017198451075268812,0.019430913978494627
20,all_sessions,full_graph,S2_HIGH_SOC_CONTROL,ExtraTrees,0.4201789892473118,0.48944397365591386,0.5347567641935485
20,all_sessions,full_graph,S2_HIGH_SOC_CONTROL,RandomForest,0.42547491397849463,0.4677642032258064,0.501995004623656
20,all_sessions,full_graph,S2_HIGH_SOC_CONTROL,HistGradientBoosting,0.05110573655913978,0.07262567204301075,0.0831008064516129
20,all_sessions,full_graph,S3_MEDIUM_SOC_WHOLETESTING,LogisticRegression,0.0031922499999999998,0.0034472299,0.00383622408
20,all_sessions,full_graph,S3_MEDIUM_SOC_WHOLETESTING,ExtraTrees,0.07926475,0.09141045409999995,0.10366326814
20,all_sessions,full_graph,S3_MEDIUM_SOC_WHOLETESTING,RandomForest,0.07934645800000001,0.08175828689999999,0.09622614000000002
20,all_sessions,full_graph,S3_MEDIUM_SOC_WHOLETESTING,HistGradientBoosting,0.011510876,0.0161377329,0.018052793060000003
20,all_sessions,full_graph,S4_SAFETY_RICH_NAVEEN12,LogisticRegression,0.003610251,0.0064968836999999965,0.00758773864
20,all_sessions,full_graph,S4_SAFETY_RICH_NAVEEN12,ExtraTrees,0.08220591699999999,0.0923264753,0.09356633536
20,all_sessions,full_graph,S4_SAFETY_RICH_NAVEEN12,RandomForest,0.083435375,0.1167953872,0.12085857678
20,all_sessions,full_graph,S4_SAFETY_RICH_NAVEEN12,HistGradientBoosting,0.016598583,0.0269795709,0.027816481860000002
20,all_sessions,full_graph,S5_REAL_TMS_JULY10,LogisticRegression,0.004984092391304348,0.0072766869565217395,0.009570827255434785
20,all_sessions,full_graph,S5_REAL_TMS_JULY10,ExtraTrees,0.11269967255434782,0.13307080027173912,0.2528406236413045
20,all_sessions,full_graph,S5_REAL_TMS_JULY10,RandomForest,0.11302417391304348,0.13593217228260868,0.13962816323369565
20,all_sessions,full_graph,S5_REAL_TMS_JULY10,HistGradientBoosting,0.022681101902173914,0.026011152717391302,0.030524813288043486
