alert_episodes,false_alert_episodes,false_alerts_per_hour,events,warned_events,event_recall,median_lead_s,pct_events_lead_ge_2s,pct_events_lead_ge_5s,horizon_s,variant,feature_set,test_session,model,threshold
8,7,21.74288179465056,10,2,0.2,5.0,1.0,1.0,5,all_sessions,no_graph,S3_MEDIUM_SOC_WHOLETESTING,RandomForest,0.22000000000000003
8,7,21.74288179465056,10,2,0.2,4.0,1.0,0.5,5,all_sessions,no_graph,S3_MEDIUM_SOC_WHOLETESTING,HistGradientBoosting,0.14
22,8,10.337401292175162,32,21,0.65625,4.0,0.9047619047619048,0.47619047619047616,5,all_sessions,no_graph,S4_SAFETY_RICH_NAVEEN12,LogisticRegression,0.16000000000000003
6,2,2.5843503230437905,32,6,0.1875,3.0,0.6666666666666666,0.3333333333333333,5,all_sessions,no_graph,S4_SAFETY_RICH_NAVEEN12,ExtraTrees,0.2
10,2,2.5843503230437905,32,10,0.3125,3.5,0.8,0.2,5,all_sessions,no_graph,S4_SAFETY_RICH_NAVEEN12,RandomForest,0.18000000000000002
6,1,1.2921751615218953,32,6,0.1875,3.0,0.8333333333333334,0.16666666666666666,5,all_sessions,no_graph,S4_SAFETY_RICH_NAVEEN12,HistGradientBoosting,0.30000000000000004
0,0,0.0,0,0,,,,,5,all_sessions,no_graph,S5_REAL_TMS_JULY10,LogisticRegression,0.22000000000000003
0,0,0.0,0,0,,,,,5,all_sessions,no_graph,S5_REAL_TMS_JULY10,ExtraTrees,0.22000000000000003
0,0,0.0,0,0,,,,,5,all_sessions,no_graph,S5_REAL_TMS_JULY10,RandomForest,0.38000000000000006
0,0,0.0,0,0,,,,,5,all_sessions,no_graph,S5_REAL_TMS_JULY10,HistGradientBoosting,0.24000000000000005
28,7,11.731843575418994,25,19,0.76,2.0,0.5263157894736842,0.05263157894736842,5,all_sessions,euclidean_only,S1_LOW_SOC_STRESS,LogisticRegression,0.14
0,0,0.0,25,0,0.0,,,,5,all_sessions,euclidean_only,S1_LOW_SOC_STRESS,ExtraTrees,0.32000000000000006
4,0,0.0,25,4,0.16,1.0,0.25,0.25,5,all_sessions,euclidean_only,S1_LOW_SOC_STRESS,RandomForest,0.4000000000000001
25,7,11.731843575418994,25,18,0.72,2.0,0.6111111111111112,0.1111111111111111,5,all_sessions,euclidean_only,S1_LOW_SOC_STRESS,HistGradientBoosting,0.26
0,0,0.0,0,0,,,,,5,all_sessions,euclidean_only,S2_HIGH_SOC_CONTROL,LogisticRegression,0.24000000000000005
0,0,0.0,0,0,,,,,5,all_sessions,euclidean_only,S2_HIGH_SOC_CONTROL,ExtraTrees,0.26
0,0,0.0,0,0,,,,,5,all_sessions,euclidean_only,S2_HIGH_SOC_CONTROL,RandomForest,0.32000000000000006
0,0,0.0,0,0,,,,,5,all_sessions,euclidean_only,S2_HIGH_SOC_CONTROL,HistGradientBoosting,0.6200000000000001
6,5,15.53062985332183,10,2,0.2,5.0,1.0,1.0,5,all_sessions,euclidean_only,S3_MEDIUM_SOC_WHOLETESTING,LogisticRegression,0.24000000000000005
4,4,12.424503882657465,10,1,0.1,5.0,1.0,1.0,5,all_sessions,euclidean_only,S3_MEDIUM_SOC_WHOLETESTING,ExtraTrees,0.4800000000000001
9,8,24.84900776531493,10,2,0.2,5.0,1.0,1.0,5,all_sessions,euclidean_only,S3_MEDIUM_SOC_WHOLETESTING,RandomForest,0.30000000000000004
10,9,27.955133735979295,10,2,0.2,4.0,1.0,0.5,5,all_sessions,euclidean_only,S3_MEDIUM_SOC_WHOLETESTING,HistGradientBoosting,0.12000000000000001
25,12,15.506101938262743,32,21,0.65625,4.0,0.8571428571428571,0.47619047619047616,5,all_sessions,euclidean_only,S4_SAFETY_RICH_NAVEEN12,LogisticRegression,0.16000000000000003
22,6,7.753050969131372,32,21,0.65625,5.0,0.9047619047619048,0.7142857142857143,5,all_sessions,euclidean_only,S4_SAFETY_RICH_NAVEEN12,ExtraTrees,0.18000000000000002
15,4,5.168700646087581,32,12,0.375,4.0,0.8333333333333334,0.16666666666666666,5,all_sessions,euclidean_only,S4_SAFETY_RICH_NAVEEN12,RandomForest,0.30000000000000004
