n,positive_rate,threshold,accuracy,macro_f1,precision,recall,f1_positive,roc_auc,pr_auc,brier,tn,fp,fn,tp,horizon_s,variant,feature_set,test_session,model,calibration_source,calibration_method,fit_rows,calibration_rows,test_rows,fit_s,infer_ms_row,n_used_features,removed_all_missing_features
4051,0.35472722784497657,0.5,0.6452727721550234,0.3921980495123781,0.0,0.0,0.0,0.5,0.35472722784497657,0.35472722784497657,2614,0,1437,0,0,all_sessions,engineering_baseline,S1_LOW_SOC_STRESS,AlwaysNegative,fixed_rule_no_training,not_applicable,0,0,4051,0.0,0.0,0,
529,0.0,0.5,1.0,0.5,0.0,0.0,0.0,,,0.0,529,0,0,0,0,all_sessions,engineering_baseline,S2_HIGH_SOC_CONTROL,AlwaysNegative,fixed_rule_no_training,not_applicable,0,0,529,0.0,0.0,0,
1489,0.14036265950302215,0.5,0.8596373404969778,0.4622607439508848,0.0,0.0,0.0,0.5,0.14036265950302215,0.14036265950302215,1280,0,209,0,0,all_sessions,engineering_baseline,S3_MEDIUM_SOC_WHOLETESTING,AlwaysNegative,fixed_rule_no_training,not_applicable,0,0,1489,0.0,0.0,0,
3664,0.16293668122270744,0.5,0.8370633187772926,0.45565294904174714,0.0,0.0,0.0,0.5,0.16293668122270744,0.16293668122270744,3067,0,597,0,0,all_sessions,engineering_baseline,S4_SAFETY_RICH_NAVEEN12,AlwaysNegative,fixed_rule_no_training,not_applicable,0,0,3664,0.0,0.0,0,
874,0.0,0.5,1.0,0.5,0.0,0.0,0.0,,,0.0,874,0,0,0,0,all_sessions,engineering_baseline,S5_REAL_TMS_JULY10,AlwaysNegative,fixed_rule_no_training,not_applicable,0,0,874,0.0,0.0,0,
2148,0.04888268156424581,0.32000000000000006,0.9539106145251397,0.6916044394620785,0.5483870967741935,0.3238095238095238,0.40718562874251496,0.9813626086753839,0.6270081595086368,0.03370727772147402,2015,28,71,34,5,all_sessions,full_graph,S1_LOW_SOC_STRESS,LogisticRegression,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,3897,1159,2148,0.023550708996481262,0.0010767378954611826,43,command_mismatch_share_10s|command_mismatch_share_30s
2148,0.04888268156424581,0.36000000000000004,0.9511173184357542,0.4874731567644954,0.0,0.0,0.0,0.9840663823042677,0.6229386254927332,0.04527699233575574,2043,0,105,0,5,all_sessions,full_graph,S1_LOW_SOC_STRESS,ExtraTrees,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,3897,1159,2148,0.16769916700286558,0.01426858333492473,43,command_mismatch_share_10s|command_mismatch_share_30s
2148,0.04888268156424581,0.22000000000000003,0.9632216014897579,0.8048797314871349,0.6203703703703703,0.638095238095238,0.6291079812206573,0.9853530056173228,0.6560453952853109,0.030076278907605433,2002,41,38,67,5,all_sessions,full_graph,S1_LOW_SOC_STRESS,RandomForest,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,3897,1159,2148,0.33880108300218126,0.014524848696527945,43,command_mismatch_share_10s|command_mismatch_share_30s
2148,0.04888268156424581,0.16000000000000003,0.9664804469273743,0.8290013135373959,0.6410256410256411,0.7142857142857143,0.6756756756756757,0.9867561708971401,0.7433496072007771,0.025479770016578744,2001,42,30,75,5,all_sessions,full_graph,S1_LOW_SOC_STRESS,HistGradientBoosting,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,3897,1159,2148,0.36311491699598264,0.003521104747654083,43,command_mismatch_share_10s|command_mismatch_share_30s
387,0.0,0.1,1.0,0.5,0.0,0.0,0.0,,,0.0001318341287855432,387,0,0,0,5,all_sessions,full_graph,S2_HIGH_SOC_CONTROL,LogisticRegression,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,4031,2786,387,0.022142999994684942,0.004722653732193485,43,command_mismatch_share_10s|command_mismatch_share_30s
387,0.0,0.26,1.0,0.5,0.0,0.0,0.0,,,7.811124783699891e-09,387,0,0,0,5,all_sessions,full_graph,S2_HIGH_SOC_CONTROL,ExtraTrees,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,4031,2786,387,0.18271712499699788,0.07856782944737609,43,command_mismatch_share_10s|command_mismatch_share_30s
387,0.0,0.32000000000000006,1.0,0.5,0.0,0.0,0.0,,,1.056194535962052e-09,387,0,0,0,5,all_sessions,full_graph,S2_HIGH_SOC_CONTROL,RandomForest,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,4031,2786,387,0.33317058400280075,0.07686509301967784,43,command_mismatch_share_10s|command_mismatch_share_30s
387,0.0,0.2,1.0,0.5,0.0,0.0,0.0,,,6.674182231093741e-06,387,0,0,0,5,all_sessions,full_graph,S2_HIGH_SOC_CONTROL,HistGradientBoosting,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,4031,2786,387,0.3530429169986746,0.013078056832051111,43,command_mismatch_share_10s|command_mismatch_share_30s
1159,0.023295944779982744,0.26,0.9465056082830026,0.6080871765783847,0.18181818181818182,0.37037037037037035,0.24390243902439024,0.9066548881036514,0.13920022643152852,0.023494705166990155,1087,45,17,10,5,all_sessions,full_graph,S3_MEDIUM_SOC_WHOLETESTING,LogisticRegression,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,3259,2786,1159,0.016508290995261632,0.0017068239817447234,40,current_ma|wheel_mean|wheel_abs_diff|command_mismatch_share_10s|command_mismatch_share_30s
1159,0.023295944779982744,0.42000000000000004,0.9741156169111302,0.6933862433862434,0.43478260869565216,0.37037037037037035,0.4,0.919709462112289,0.2269561312853064,0.022208296973811166,1119,13,17,10,5,all_sessions,full_graph,S3_MEDIUM_SOC_WHOLETESTING,ExtraTrees,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,3259,2786,1159,0.1795720829977654,0.026628307159116203,40,current_ma|wheel_mean|wheel_abs_diff|command_mismatch_share_10s|command_mismatch_share_30s
