horizon_s,variant,feature_set,model,folds,positive_test_folds,pr_auc_evaluable_folds,test_rows,macro_f1_mean,pr_auc_mean,f1_positive_mean,recall_mean,brier_mean,macro_f1_sd,pr_auc_sd,f1_positive_sd,recall_sd,brier_sd
5,all_sessions,full_graph_no_soc,RandomForest,5,3,3,7204,0.6737581358902647,0.597745798703527,0.3555309625403664,0.32480106653335,0.01571377139051664,0.17234357134560996,0.2671297774934823,0.3516054007302438,0.33381648781307566,0.014831614112773677
5,all_sessions,no_graph,ExtraTrees,5,3,3,7204,0.5351355089834627,0.4671303725363409,0.08628357701462089,0.09658792650918635,0.02149209294820439,0.054119338748737915,0.17380941124442534,0.11818156738029598,0.14734909071528124,0.020292747672932872
5,all_sessions,no_graph,HistGradientBoosting,5,3,3,7204,0.6002032585824114,0.46682425436160435,0.2159198716658713,0.23307086614173228,0.018890519913524605,0.12684014847633507,0.1540264127114619,0.26109385432576404,0.27896570892287925,0.017600456660940383
5,all_sessions,no_graph,LogisticRegression,5,3,3,7204,0.6211562411958065,0.4600635725842521,0.25729564553093964,0.2939015956338791,0.018660568846949457,0.1250731964744993,0.24547920026150605,0.26209020997389093,0.2999817208591181,0.01758136672061581
5,all_sessions,no_graph,RandomForest,5,3,3,7204,0.6060077809398327,0.4879773655198228,0.22993470204432237,0.2640253301670624,0.018450486821736816,0.12288895146164051,0.1896438249590968,0.25481876988879737,0.2651487836027714,0.017150536153983445
5,annotated_sessions,full_graph,ExtraTrees,4,2,2,6045,0.5417667684089043,0.6486306404718015,0.09451219512195122,0.0610236220472441,0.014819475893085474,0.09207432686923103,0.04564355559053327,0.18902439024390244,0.1220472440944882,0.01741533791248903
5,annotated_sessions,full_graph,HistGradientBoosting,4,2,2,6045,0.6662118076990897,0.6637438332676472,0.34117522145370704,0.38078365204349457,0.013000551897522677,0.1924061997483398,0.013946726008408523,0.39488095740727686,0.44410877347089434,0.015005367260939838
5,annotated_sessions,full_graph,LogisticRegression,4,2,2,6045,0.5917580819606298,0.40302642008568557,0.2078163205722419,0.28023997000374956,0.03477277957196366,0.12589470779937953,0.253518366453627,0.2661429520313029,0.32359533545550767,0.04943362151654271
5,annotated_sessions,full_graph,RandomForest,4,2,2,6045,0.668805476108366,0.7123412826159563,0.3455505279034691,0.3549118860142482,0.01073671541539075,0.1953846078132936,0.10390813660273691,0.3997821136491036,0.4099899475481608,0.012587166169682449
5,recorded_route_only,full_graph,ExtraTrees,2,0,0,1094,0.5,,0.0,0.0,1.957702206805037e-09,0.0,,0.0,0.0,2.5111781412953156e-09
5,recorded_route_only,full_graph,HistGradientBoosting,2,0,0,1094,0.5,,0.0,0.0,3.2568504305735733e-07,0.0,,0.0,0.0,8.158024446086691e-08
5,recorded_route_only,full_graph,LogisticRegression,2,0,0,1094,0.5,,0.0,0.0,1.864541627061921e-05,0.0,,0.0,0.0,1.064979106339251e-05
5,recorded_route_only,full_graph,RandomForest,2,0,0,1094,0.5,,0.0,0.0,1.0458331885437778e-08,0.0,,0.0,0.0,1.0571045390871581e-08
10,all_sessions,engineering_baseline,AlwaysNegative,5,3,3,6151,0.48775605237564107,0.07784033493923492,0.0,0.0,0.04670420096354096,0.013645751952259614,0.041264634469607715,0.0,0.0,0.05166353019288221
10,all_sessions,engineering_baseline,PersistenceH0,5,3,3,6151,0.48775605237564107,0.07784033493923492,0.0,0.0,0.04670420096354096,0.013645751952259614,0.041264634469607715,0.0,0.0,0.05166353019288221
10,all_sessions,full_graph,ExtraTrees,5,3,3,6151,0.5473126082715322,0.650524445677255,0.12570323488045004,0.156478578892372,0.04184736981810825,0.0847732047533306,0.12329776980230232,0.1807786451641886,0.231501247360417,0.045355362097142846
