timestamp,X-coordinate,Y-coordinate,Going to ID,Speed,power consumption,Cumulative energy consumption,current consuption,Heading,Target reached,RIGHT DRIVE SIGNALS.ActualSpeed_R,LEFT DRIVE SIGNALS.ActualSpeed_L,Target reached,Current segment,Position confidence,Battery value
07:43.4,-3.493998,21.81703,1,0,225,199051.3,5382,1.602891,1,0,0,1,74,100,49
07:43.4,-3.493998,21.81703,1,0,225,199051.3,5382,1.602891,1,0,0,1,74,100,49
07:43.5,-3.493998,21.81703,1,0,225,199051.3,5382,1.602891,1,0,0,1,74,100,49
07:43.5,-3.493998,21.81703,1,0,225,199051.3,5382,1.602891,1,0,0,1,74,100,49
07:43.5,-3.493998,21.81703,1,0,225,199051.3,5382,1.602891,1,0,0,1,74,100,49
07:43.6,-3.493998,21.81703,1,0,225,199051.3,5382,1.602891,1,0,0,1,74,100,49
07:43.6,-3.493998,21.81703,1,0,225,199051.3,5382,1.602891,1,0,0,1,74,100,49
07:43.6,-3.493998,21.81703,1,0,225,199051.3,5382,1.602891,1,0,0,1,74,100,49
07:43.6,-3.493998,21.82093,1,0,225,199083.9,5382,1.602891,1,0,0,1,74,100,49
07:43.7,-3.493998,21.82093,1,0,225,199083.9,5382,1.602891,1,0,0,1,74,100,49
07:43.7,-3.493998,21.82093,1,0,225,199083.9,5382,1.602891,1,0,0,1,74,100,49
07:43.7,-3.493998,21.82093,1,0,225,199083.9,5382,1.602891,1,0,0,1,74,100,49
07:43.8,-3.493998,21.82093,1,0,225,199083.9,5382,1.602891,1,0,0,1,74,100,49
07:43.8,-3.493998,21.82093,1,0,225,199083.9,5382,1.602891,1,0,0,1,74,100,49
07:43.8,-3.493998,21.82093,1,0,225,199083.9,5382,1.602891,1,0,0,1,74,100,49
07:43.9,-3.493998,21.82093,1,0,225,199083.9,5382,1.602891,1,0,0,1,74,100,49
07:43.9,-3.493998,21.82093,1,0,225,199083.9,5382,1.602891,1,0,0,1,74,100,49
07:43.9,-3.493998,21.82093,1,0,225,199083.9,5382,1.602891,1,0,0,1,74,100,49
07:44.0,-3.493998,21.82093,1,0,225,199083.9,5382,1.602891,1,0,0,1,74,100,49
07:44.0,-3.493998,21.82093,1,0,225,199083.9,5382,1.602891,1,0,0,1,74,100,49
07:44.0,-3.493998,21.82093,1,0,225,199083.9,5382,1.602891,1,0,0,1,74,100,49
07:44.1,-3.493998,21.82093,1,0,225,199083.9,5382,1.602891,1,0,0,1,74,100,49
07:44.1,-3.493998,21.82093,1,0,225,199083.9,5382,1.602891,1,0,0,1,74,100,49
07:44.1,-3.493998,21.82093,1,0,225,199083.9,5382,1.602891,1,0,0,1,74,100,49
07:44.1,-3.493998,21.82093,1,0,225,199083.9,5382,1.602891,1,0,0,1,74,100,49
07:44.2,-3.493998,21.82483,1,0,225,199118.2,5382,1.602891,1,0,0,1,74,100,49
07:44.2,-3.493998,21.82483,1,0,225,199118.2,5382,1.602891,1,0,0,1,74,100,49
07:44.2,-3.493998,21.82483,1,0,225,199118.2,5382,1.602891,1,0,0,1,74,100,49
07:44.3,-3.493998,21.82483,1,0,225,199118.2,5382,1.602891,1,0,0,1,74,100,49
07:44.3,-3.493998,21.82483,1,0,225,199118.2,5382,1.602891,1,0,0,1,74,100,49
07:44.3,-3.493998,21.82483,1,0,225,199118.2,5382,1.602891,1,0,0,1,74,100,49
07:44.4,-3.493998,21.82483,1,0,225,199118.2,5382,1.602891,1,0,0,1,74,100,49
07:44.4,-3.493998,21.82483,1,0,225,199118.2,5382,1.602891,1,0,0,1,74,100,49
07:44.4,-3.493998,21.82483,1,0,225,199118.2,5382,1.602891,1,0,0,1,74,100,49
07:44.5,-3.493998,21.82483,1,0,225,199118.2,5382,1.602891,1,0,0,1,74,100,49
07:44.5,-3.493998,21.82483,1,0,225,199118.2,5382,1.602891,1,0,0,1,74,100,49
07:44.5,-3.493998,21.82483,1,0,225,199118.2,5382,1.602891,1,0,0,1,74,100,49
07:44.6,-3.493998,21.82483,1,0,225,199118.2,5382,1.602891,1,0,0,1,74,100,49
07:44.6,-3.493998,21.82483,1,0,225,199118.2,5382,1.602891,1,0,0,1,74,100,49
07:44.6,-3.493998,21.82483,1,0,225,199118.2,5382,1.602891,1,0,0,1,74,100,49
07:44.7,-3.493998,21.82483,1,0,225,199118.2,5382,1.602891,1,0,0,1,74,100,49
07:44.7,-3.493998,21.82483,1,0,225,199118.2,5382,1.602891,1,0,0,1,74,100,49
07:44.7,-3.493998,21.81833,1,0,225,199151.2,5382,1.602891,1,0,0,1,74,100,49
07:44.7,-3.493998,21.81833,1,0,225,199151.2,5382,1.602891,1,0,0,1,74,100,49
07:44.8,-3.493998,21.81833,1,0,225,199151.2,5382,1.602891,1,0,0,1,74,100,49
07:44.8,-3.493998,21.81833,1,0,225,199151.2,5382,1.602891,1,0,0,1,74,100,49
07:44.8,-3.493998,21.81833,1,0,225,199151.2,5382,1.602891,1,0,0,1,74,100,49
07:44.9,-3.493998,21.81833,1,0,225,199151.2,5382,1.602891,1,0,0,1,74,100,49
07:44.9,-3.493998,21.81833,1,0,225,199151.2,5382,1.602891,1,0,0,1,74,100,49
07:44.9,-3.493998,21.81833,1,0,225,199151.2,5382,1.602891,1,0,0,1,74,100,49
07:45.0,-3.493998,21.81833,1,0,225,199151.2,5382,1.602891,1,0,0,1,74,100,49
07:45.0,-3.493998,21.81833,1,0,225,199151.2,5382,1.602891,1,0,0,1,74,100,49
