case_id,automatic_case_type,session,case_time,mission_leg_id,temporal_segment_id
CASE_034,negative_control,S4_SAFETY_RICH_NAVEEN12,2026-03-01 00:42:07,S4_SAFETY_RICH_NAVEEN12_L9,1.0
CASE_035,detected_onset,S1_LOW_SOC_STRESS,2026-06-22 15:52:43,S1_LOW_SOC_STRESS_L250,44.0
CASE_036,detected_onset,S4_SAFETY_RICH_NAVEEN12,2026-03-01 01:10:08,S4_SAFETY_RICH_NAVEEN12_L27,1.0
CASE_037,negative_control,S1_LOW_SOC_STRESS,2026-06-22 16:08:29,S1_LOW_SOC_STRESS_L298,49.0
CASE_038,detected_onset,S4_SAFETY_RICH_NAVEEN12,2026-03-01 00:36:47,S4_SAFETY_RICH_NAVEEN12_L3,1.0
CASE_039,detected_onset,S1_LOW_SOC_STRESS,2026-06-22 16:57:21,S1_LOW_SOC_STRESS_L533,87.0
CASE_040,negative_control,S1_LOW_SOC_STRESS,2026-06-22 17:18:13,S1_LOW_SOC_STRESS_L620,104.0
CASE_041,detected_onset,S3_MEDIUM_SOC_WHOLETESTING,2026-03-01 00:41:58,S3_MEDIUM_SOC_WHOLETESTING_L64,1.0
CASE_042,detected_onset,S1_LOW_SOC_STRESS,2026-06-22 16:06:15,S1_LOW_SOC_STRESS_L294,49.0
CASE_043,detected_onset,S4_SAFETY_RICH_NAVEEN12,2026-03-01 01:23:34,S4_SAFETY_RICH_NAVEEN12_L47,1.0
CASE_044,detected_onset,S3_MEDIUM_SOC_WHOLETESTING,2026-03-01 00:22:47,S3_MEDIUM_SOC_WHOLETESTING_L28,1.0
CASE_045,detected_onset,S1_LOW_SOC_STRESS,2026-06-22 17:03:10,S1_LOW_SOC_STRESS_L549,91.0
CASE_046,negative_control,S3_MEDIUM_SOC_WHOLETESTING,2026-03-01 00:20:38,S3_MEDIUM_SOC_WHOLETESTING_L24,1.0
CASE_047,detected_onset,S3_MEDIUM_SOC_WHOLETESTING,2026-03-01 00:19:30,S3_MEDIUM_SOC_WHOLETESTING_L22,1.0
CASE_048,detected_onset,S4_SAFETY_RICH_NAVEEN12,2026-03-01 01:21:27,S4_SAFETY_RICH_NAVEEN12_L40,1.0
CASE_049,detected_onset,S1_LOW_SOC_STRESS,2026-06-22 16:41:24,S1_LOW_SOC_STRESS_L473,73.0
CASE_050,detected_onset,S1_LOW_SOC_STRESS,2026-06-22 17:18:56,S1_LOW_SOC_STRESS_L620,104.0
CASE_051,detected_onset,S1_LOW_SOC_STRESS,2026-06-22 15:44:27,S1_LOW_SOC_STRESS_L211,38.0
CASE_052,detected_onset,S1_LOW_SOC_STRESS,2026-06-22 16:57:53,S1_LOW_SOC_STRESS_L535,88.0
CASE_053,detected_onset,S4_SAFETY_RICH_NAVEEN12,2026-03-01 00:43:03,S4_SAFETY_RICH_NAVEEN12_L9,1.0
CASE_054,detected_onset,S1_LOW_SOC_STRESS,2026-06-22 16:10:50,S1_LOW_SOC_STRESS_L318,52.0
CASE_055,negative_control,S2_HIGH_SOC_CONTROL,2026-06-18 11:29:22,S2_HIGH_SOC_CONTROL_L89,15.0
